Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
,joan,83,expressive,listening,yearning,,,closer,,,,,,,,,
,pinnacle,compelling,provoked,lawrence,captain,,,revenge,,,,,,,,,
,swirling,translating,breaking,die,raise,,,cheek,,,,,,,,,
,armchair,suicidal,tenor,tied,near,,,specifically,,,,,,,,,
,classified,optimism,mourning,common,framing,,,returning,,,,,,,,,
,probation,worm,debate,51,spreads,,,rob,,,,,,,,,
,yields,rooted,adultery,prevent,rumor,,,references,,,,,,,,,
,mankind,canadians,rampant,belt,brooks,,,succeeded,,,,,,,,,
,wasp,godfrey,wind,joe,magical,,,jersey,,,,,,,,,
,weber,gong,fusion,similarly,alternately,,,guess,,,,,,,,,
,stud,scientific,kingsley,protect,hopeful,,,promised,,,,,,,,,
,terrorism,valentine,molly,traditions,flowers,,,opened,,,,,,,,,
,sociology,inquiry,modeled,efficient,flag,,,record,,,,,,,,,
,solo,1950s,stalking,field,al,,,rolling,,,,,,,,,
,conversion,fuels,puff,medicine,12th,,,princess,,,,,,,,,
,slapping,miracles,successor,jeremy,mechanical,,,composed,,,,,,,,,
,hazy,impacts,rewards,investigation,compatible,,,rejected,,,,,,,,,
,attracting,android,successfully,turning,depiction,,,settled,,,,,,,,,
,clones,define,60,tongue,japan,,,suggests,,,,,,,,,
,debts,grim,shear,rated,embraced,,,neck,,,,,,,,,
,criminals,hack,hack,swedish,realities,,,perform,,,,,,,,,
,urges,penetrating,chest,approaches,aids,,,foreign,,,,,,,,,
,destruction,symbols,volatile,50,harlem,,,principles,,,,,,,,,
,gracefully,affectionately,notorious,daughter,pitched,,,fifth,,,,,,,,,
,cheerfully,myers,indefinitely,follows,repetition,,,therefore,,,,,,,,,
,moat,effortlessly,jar,dinner,8,,,appeared,,,,,,,,,
,chicken,lau,resolutions,strictly,knowledge,,,1938,,,,,,,,,
,rooted,roster,choreographed,students,etched,,,lying,,,,,,,,,
,bourgeois,apex,rap,closest,league,,,lily,,,,,,,,,
,provincial,tunnels,promotion,anger,agile,,,luis,,,,,,,,,
,contrasting,flesh,bow,brother,proficient,,,eventually,,,,,,,,,
,demographic,significance,rhetoric,hammer,tuck,,,content,,,,,,,,,
,explosions,cows,haynes,dangerous,symbols,,,pool,,,,,,,,,
,ye,workshop,notable,confused,denial,,,streets,,,,,,,,,
,landscapes,developments,wartime,necessary,wow,,,kingdom,,,,,,,,,
,lore,cultures,downward,headed,factors,,,fist,,,,,,,,,
,suddenly,paralyzed,spiral,uncle,paxton,,,six,,,,,,,,,
,terrorists,problematic,teens,academy,artistic,,,key,,,,,,,,,
,introduces,solemn,hannibal,equation,resistance,,,sessions,,,,,,,,,
,thinkers,shocks,inclination,salt,forster,,,serial,,,,,,,,,
,orbits,spirituality,terrified,mexican,levy,,,broadcast,,,,,,,,,
,inevitably,activism,whimper,trumpet,championship,,,breathing,,,,,,,,,
,portraits,vital,tract,saved,stroked,,,station,,,,,,,,,
,reassure,nicholson,paradigm,blame,strokes,,,hearing,,,,,,,,,
,alleged,harvey,permitting,prevention,vin,,,media,,,,,,,,,
,demonstration,facades,cartoon,adams,banged,,,forum,,,,,,,,,
,ragged,sly,stopped,shell,furiously,,,producers,,,,,,,,,
,enacted,moan,66,eighth,labor,,,basis,,,,,,,,,
,annex,pacing,omitted,soul,posthumously,,,household,,,,,,,,,
,pristine,fictional,splitting,religion,published,,,evidence,,,,,,,,,
,revived,literary,biting,warriors,screenings,,,discussed,,,,,,,,,
,overture,bitterly,isabelle,independent,escort,,,glasses,,,,,,,,,
,testing,stitch,severe,jennifer,overwhelmed,,,sun,,,,,,,,,
,linking,meditation,unnoticed,voyage,canon,,,forms,,,,,,,,,
,moaning,weave,unconventional,lowered,grown,,,breaking,,,,,,,,,
,fellowship,survival,turbulent,gang,flesh,,,explosion,,,,,,,,,
,framework,sexually,egypt,slip,capturing,,,south,,,,,,,,,
,naive,pornography,prince,superior,fantasies,,,jr,,,,,,,,,
,detective,creators,racial,lectures,illness,,,debate,,,,,,,,,
,kurt,slippery,homicide,regarding,metaphysical,,,wind,,,,,,,,,
,lullaby,endings,cinderella,terrorist,collectively,,,majority,,,,,,,,,
,temple,humming,pants,larry,echoes,,,folk,,,,,,,,,
,scoring,lark,harrison,variation,canadians,,,successor,,,,,,,,,
,collar,consciously,banquet,gaze,controversy,,,successfully,,,,,,,,,
,seasonal,amid,evolve,album,calculated,,,60,,,,,,,,,
,pearce,psychedelic,jumps,square,rally,,,chest,,,,,,,,,
,ke,espionage,engages,rural,psychotic,,,extension,,,,,,,,,
,forefront,youthful,walt,birmingham,cabins,,,kitchen,,,,,,,,,
,divisions,stereo,steamboat,rules,astronauts,,,ballet,,,,,,,,,
,nonfiction,triangle,willie,expecting,dimensions,,,jay,,,,,,,,,
,smeared,heal,gift,89,devastation,,,September,,,,,,,,,
,self,ninety,discontent,average,portraying,,,association,,,,,,,,,
,effectiveness,defiant,deepest,guy,classification,,,basketball,,,,,,,,,
,graves,93,physical,fires,revenge,,,joint,,,,,,,,,
,configurations,nomination,evans,described,ham,,,promotion,,,,,,,,,
,contentious,artworks,overlapping,flight,cheek,,,bow,,,,,,,,,
,apocalypse,pulse,collateral,deliberately,sundance,,,notable,,,,,,,,,
,juice,inclination,skinny,israel,phillip,,,driver,,,,,,,,,
,generations,undone,paranormal,michel,references,,,instance,,,,,,,,,
,deeds,telescope,archive,practical,skyscraper,,,exists,,,,,,,,,
,principals,conclusions,thumbs,possibly,jersey,,,tea,,,,,,,,,
,margins,endeavors,specific,front,unlimited,,,8th,,,,,,,,,
,blues,suspense,stills,thirty,clouds,,,placing,,,,,,,,,
,rigged,cheered,grasp,conservative,narration,,,stopped,,,,,,,,,
,valiant,brit,rattling,gay,prolonged,,,66,,,,,,,,,
,springer,1975,maiden,racing,record,,,belgium,,,,,,,,,
,refers,conscience,portions,suspected,junk,,,guide,,,,,,,,,
,shadows,exploration,insignificant,condition,anticipated,,,severe,,,,,,,,,
,hitler,footage,examines,sooner,composed,,,policy,,,,,,,,,
,alexandre,sequel,band,fool,rejected,,,decision,,,,,,,,,
,writings,prejudice,21st,kenneth,richly,,,facing,,,,,,,,,
,jagger,wo,tense,space,perform,,,1998,,,,,,,,,
,afterlife,pornographic,dismay,sought,flatly,,,prince,,,,,,,,,
,thirteen,acknowledges,explores,item,kendall,,,egypt,,,,,,,,,
,plagued,souls,string,hurry,principles,,,twenty,,,,,,,,,
,documenting,tales,horse,arrow,smackdown,,,entry,,,,,,,,,
,fragile,blair,sleep,sam,atrocities,,,racial,,,,,,,,,
,raymond,bollywood,steals,simultaneously,mythology,,,due,,,,,,,,,
,teaming,editing,reinforcement,seattle,benefited,,,drop,,,,,,,,,
,diversity,assumes,distinguish,kissing,directs,,,pants,,,,,,,,,
,trials,combining,exploit,jessica,snap,,,harrison,,,,,,,,,
,ace,beings,instincts,bang,childish,,,o,,,,,,,,,
,traces,earnest,malcolm,electric,extravagant,,,gift,,,,,,,,,
,pedestal,slender,ridley,josh,1938,,,physical,,,,,,,,,
,paralyzed,shifting,roman,profile,holden,,,earned,,,,,,,,,
,werner,variant,ideology,receiving,wince,,,evans,,,,,,,,,
,pornography,astronaut,holocaust,chief,leaping,,,benefits,,,,,,,,,
,brutality,brutally,streamed,famous,lying,,,primary,,,,,,,,,
,toys,sanders,iran,lover,oppressive,,,targets,,,,,,,,,
,marred,swings,facades,mario,nicolas,,,wondering,,,,,,,,,
,impetus,vu,anchors,solutions,erratic,,,accompanied,,,,,,,,,
,mermaid,myth,expects,object,confronting,,,specific,,,,,,,,,
,imposed,tnt,gloom,believed,paranoia,,,conditions,,,,,,,,,
,castro,irresistible,dizzy,crew,phenomenon,,,suggested,,,,,,,,,
,zoning,skyscraper,hideous,hole,eventually,,,higher,,,,,,,,,
,bai,aids,patting,finding,viewpoint,,,maintained,,,,,,,,,
,critique,dungeons,throbbing,block,content,,,decline,,,,,,,,,
,obligation,successor,yielded,titled,diary,,,band,,,,,,,,,
,prologue,reflective,myth,choices,mild,,,21st,,,,,,,,,
,resources,phenomena,heroic,baseball,stays,,,trapped,,,,,,,,,
,perch,giggles,hicks,nights,fuels,,,bands,,,,,,,,,
,triple,forwards,hatfield,earn,freighter,,,rapidly,,,,,,,,,
,antonia,assert,sprung,douglas,backdrop,,,beijing,,,,,,,,,
,nuclear,deeds,california,ad,stretches,,,string,,,,,,,,,
,enlightenment,lengths,humidity,succeed,expressing,,,horse,,,,,,,,,
,thoughtfully,creeping,expressions,83,clown,,,sleep,,,,,,,,,
,hates,philosophers,award,returns,key,,,latin,,,,,,,,,
,powerhouse,linear,appearing,significance,wonders,,,remained,,,,,,,,,
,critically,comprehend,televised,destroy,six,,,confidence,,,,,,,,,
,searches,sustain,chord,urge,ecstasy,,,roman,,,,,,,,,
,leigh,sparked,struck,learn,stalked,,,iran,,,,,,,,,
,dave,brilliance,morals,margin,bug,,,yellow,,,,,,,,,
,flopped,intelligence,chronicle,arrives,emphasizes,,,talks,,,,,,,,,
,ram,intensely,vaudeville,productions,sessions,,,stone,,,,,,,,,
,perennial,unconventional,parker,writes,murders,,,couples,,,,,,,,,
,ransom,weighted,flowering,responsibility,serial,,,golden,,,,,,,,,
,illustrated,stroked,testosterone,sink,conception,,,california,,,,,,,,,
,intern,outward,evolved,shape,accomplishment,,,tail,,,,,,,,,
,firth,jolt,serials,rescue,evelyn,,,3d,,,,,,,,,
,vampires,foolish,jolted,sugar,embrace,,,award,,,,,,,,,
,lucia,meaningless,runner,curse,sonny,,,appearing,,,,,,,,,
,fluttering,participants,cousin,bid,station,,,president,,,,,,,,,
,lyrics,soundtrack,slender,detailed,delicately,,,struck,,,,,,,,,
,heartbreak,debut,kaufman,essential,hearing,,,economic,,,,,,,,,
,liner,defend,masculine,organic,forum,,,parker,,,,,,,,,
,gliding,hardy,humanist,dean,memoir,,,dr,,,,,,,,,
,seater,metaphor,adaptations,rebel,basis,,,couch,,,,,,,,,
,australia,discoveries,satin,foster,scarcely,,,strategy,,,,,,,,,
,stitch,narrated,rouge,hope,bouquet,,,runner,,,,,,,,,
,assets,credible,ripe,delhi,cure,,,cousin,,,,,,,,,
,,opaque,integrated,specialized,expressive,,,tables,,,,,,,,,
,,comprehension,speculative,mosque,provoked,,,diamond,,,,,,,,,
,,weighs,successes,sits,tenor,,,marketing,,,,,,,,,
,,mischievous,baird,queen,mourning,,,fellow,,,,,,,,,
,,exceeding,store,anne,adultery,,,education,,,,,,,,,
,,ideally,extant,rice,rampant,,,und,,,,,,,,,
,,athlete,characterized,super,kingsley,,,rick,,,,,,,,,
,,spanning,pre,dominated,molly,,,2,,,,,,,,,
,,involving,post,charged,beasts,,,trail,,,,,,,,,
,,universal,bronze,1980,successor,,,integrated,,,,,,,,,
,,adhere,scratch,adam,shear,,,editor,,,,,,,,,
,,geneva,cardiac,finishing,hack,,,store,,,,,,,,,
,,sway,marquis,technologies,chest,,,post,,,,,,,,,
,,emphasizing,menace,surveillance,bitten,,,pre,,,,,,,,,
,,catalytic,phantom,technique,volatile,,,characterized,,,,,,,,,
,,destruction,nerves,gun,fiery,,,stayed,,,,,,,,,
,,photographed,relying,taylor,resolutions,,,bronze,,,,,,,,,
,,unprecedented,yank,harvard,kitchen,,,begun,,,,,,,,,
,,amp,nick,reynolds,bow,,,formed,,,,,,,,,
,,drastic,choke,extends,rap,,,physician,,,,,,,,,
,,startling,leash,aspect,rhetoric,,,nick,,,,,,,,,
,,revelation,signals,aboriginal,haynes,,,whenever,,,,,,,,,
,,verve,intro,tomorrow,overwhelming,,,concerning,,,,,,,,,
,,vampires,manifesto,gently,wartime,,,signals,,,,,,,,,
,,emerge,topical,forth,spiral,,,background,,,,,,,,,
,,collaborative,background,collected,downward,,,clothes,,,,,,,,,
,,boardwalk,duel,injuries,teens,,,sale,,,,,,,,,
,,bourne,swiftly,strategic,hannibal,,,plastic,,,,,,,,,
,,principles,traffic,define,inclination,,,garage,,,,,,,,,
,,secondary,wanderers,hotel,whimper,,,traffic,,,,,,,,,
,,expanse,equilibrium,chelsea,permitting,,,prepare,,,,,,,,,
,,ideology,engaged,occasion,paradigm,,,shown,,,,,,,,,
,,firth,calculating,extra,repeatedly,,,hiding,,,,,,,,,
,,exploits,criticizing,checking,stopped,,,engaged,,,,,,,,,
,,airs,295,hundreds,omitted,,,threatened,,,,,,,,,
,,lending,1958,paying,splitting,,,listen,,,,,,,,,
,,conceal,turf,gotten,isabelle,,,paintings,,,,,,,,,
,,charms,fingered,tightened,unnoticed,,,months,,,,,,,,,
,,movements,races,13,unconventional,,,1958,,,,,,,,,
,,battles,amassed,apollo,turbulent,,,races,,,,,,,,,
,,shimmering,curiously,ai,egypt,,,literature,,,,,,,,,
,,lina,luther,unit,twenty,,,vast,,,,,,,,,
,,prism,characterization,sent,entry,,,shift,,,,,,,,,
,,juliette,confidently,boundaries,homicide,,,frequent,,,,,,,,,
,,monument,orchestrated,300,cinderella,,,mid,,,,,,,,,
,,proves,doctorate,sight,pants,,,drink,,,,,,,,,
,,friendship,telescope,shut,harrison,,,feet,,,,,,,,,
,,clash,mid,stretched,banquet,,,arms,,,,,,,,,
,,cinematic,analytical,brief,evolve,,,squad,,,,,,,,,
,,cameo,transforms,rival,jumps,,,feelings,,,,,,,,,
,,mcgrath,undertaking,bomb,engages,,,player,,,,,,,,,
,,possession,insane,ernest,walt,,,downtown,,,,,,,,,
,,clocks,prison,refused,willie,,,prison,,,,,,,,,
,,collectively,discovery,dozen,deepest,,,discovery,,,,,,,,,
,,madonna,reveal,roles,overlapping,,,25,,,,,,,,,
,,surplus,effectively,reaching,collateral,,,member,,,,,,,,,
,,racial,edition,heights,wondering,,,reveal,,,,,,,,,
,,orchard,proof,heels,paranormal,,,effectively,,,,,,,,,
,,anchored,concentration,suggest,specific,,,edition,,,,,,,,,
,,wesley,competing,stronger,mattered,,,anniversary,,,,,,,,,
,,hughes,neutral,focuses,stills,,,proof,,,,,,,,,
,,distances,singh,particular,grasp,,,competing,,,,,,,,,
,,expressive,stakes,putting,rattling,,,architect,,,,,,,,,
,,animation,ran,executed,portions,,,wayne,,,,,,,,,
,,destiny,acknowledges,presentation,insignificant,,,singh,,,,,,,,,
,,doug,chatter,tough,horribly,,,function,,,,,,,,,
,,morgan,lights,lean,examines,,,stakes,,,,,,,,,
,,infants,chases,freedom,band,,,ran,,,,,,,,,
,,empowerment,tucker,grateful,explores,,,answer,,,,,,,,,
,,1973,94,russell,horse,,,discover,,,,,,,,,
,,prolific,sci,mask,torpedo,,,businesses,,,,,,,,,
,,lizard,italics,exit,exploit,,,judge,,,,,,,,,
,,fright,sleek,strip,confidence,,,94,,,,,,,,,
,,celebrates,attach,excess,instincts,,,attempted,,,,,,,,,
,,projectile,wilde,train,ridley,,,cafe,,,,,,,,,
,,pokemon,empowerment,steve,malcolm,,,c,,,,,,,,,
,,naval,outrage,celebrate,roman,,,established,,,,,,,,,
,,cleansing,murderer,nazi,ideology,,,appointed,,,,,,,,,
,,depicted,ideally,origins,holocaust,,,criticism,,,,,,,,,
,,riot,criticism,decade,iran,,,versions,,,,,,,,,
,,triumph,versions,completion,streamed,,,powers,,,,,,,,,
,,comedies,powers,burst,facades,,,austin,,,,,,,,,
,,probe,multiple,crack,anchors,,,multiple,,,,,,,,,
,,jiang,passions,practiced,expects,,,besides,,,,,,,,,
,,relevance,assassin,sub,gloom,,,segment,,,,,,,,,
,,searing,pursuing,cup,patting,,,jet,,,,,,,,,
,,stylistic,seduce,town,throbbing,,,fictional,,,,,,,,,
,,turmoil,stealing,formal,myth,,,stroke,,,,,,,,,
,,breadth,tidal,accessible,stone,,,di,,,,,,,,,
,,collateral,segment,replaced,heroic,,,catherine,,,,,,,,,
,,nicholas,vittorio,sucked,hicks,,,native,,,,,,,,,
,,reagan,nash,hoped,sprung,,,circumstances,,,,,,,,,
,,sparks,microscope,1999,golden,,,substitute,,,,,,,,,
,,vein,purity,pride,california,,,insurance,,,,,,,,,
,,proving,puzzled,distinction,expressions,,,doors,,,,,,,,,
,,adolescence,psycho,connected,chord,,,del,,,,,,,,,
,,breakthrough,jet,trip,chronicle,,,dust,,,,,,,,,
,,advocacy,fictional,fifty,vaudeville,,,regard,,,,,,,,,
,,readings,roster,procedure,couch,,,continue,,,,,,,,,
,,awakening,kathryn,definition,flowering,,,universe,,,,,,,,,
,,stuart,afford,knees,testosterone,,,damaged,,,,,,,,,
,,distinguished,kindness,matters,serials,,,thrust,,,,,,,,,
,,modeled,gregory,cop,jolted,,,hurt,,,,,,,,,
,,bodily,velocity,lower,cousin,,,teeth,,,,,,,,,
,,alleged,engineering,entered,slender,,,angel,,,,,,,,,
,,ecstasy,stroke,image,kaufman,,,crossed,,,,,,,,,
,,glaring,ryder,athlete,fellow,,,hey,,,,,,,,,
,,mortal,improves,van,masculine,,,united,,,,,,,,,
,,norwegian,bias,arnold,lecture,,,states,,,,,,,,,
,,tortured,nominated,combat,humanist,,,2001,,,,,,,,,
,,isolation,conrad,fortune,und,,,4th,,,,,,,,,
,,childish,ardent,drive,adaptations,,,participants,,,,,,,,,
,,subtly,economics,lion,2,,,comments,,,,,,,,,
,,ghosts,backstage,winner,impulse,,,partly,,,,,,,,,
,,despair,pivotal,captain,satin,,,franklin,,,,,,,,,
,,commerce,comparisons,jump,rouge,,,actual,,,,,,,,,
,,egypt,invites,celebrity,ripe,,,jon,,,,,,,,,
,,palestinian,followers,advice,ingredients,,,miller,,,,,,,,,
,,odyssey,circumstances,singing,integrated,,,dad,,,,,,,,,
,,strategic,crocodile,raise,speculative,,,suppose,,,,,,,,,
,,demons,coupling,scale,baird,,,southern,,,,,,,,,
,,orthodox,bodily,near,store,,,learned,,,,,,,,,
,,depression,outward,sons,extant,,,giants,,,,,,,,,
,,genesis,chick,francisco,pre,,,building,,,,,,,,,
,,sibling,graphics,faint,characterized,,,assigned,,,,,,,,,
,,judd,library,angels,bronze,,,wood,,,,,,,,,
,,topical,fling,emerged,cardiac,,,ed,,,,,,,,,
,,pushes,fleeting,brooks,marquis,,,lies,,,,,,,,,
,,mira,dared,element,menace,,,backed,,,,,,,,,
,,michel,damaged,opposite,phantom,,,became,,,,,,,,,
,,secretary,explicit,magical,relying,,,north,,,,,,,,,
,,endeavor,thrust,enjoying,yank,,,surrounding,,,,,,,,,
,,pivotal,substantive,flowers,intro,,,witness,,,,,,,,,
,,swords,teeth,al,sufficiently,,,scientists,,,,,,,,,
,,resume,binary,henry,manifesto,,,1952,,,,,,,,,
,,integrated,simplicity,et,topical,,,killing,,,,,,,,,
,,alabama,messenger,fly,relating,,,riding,,,,,,,,,
,,sacrificed,hey,flag,swiftly,,,educational,,,,,,,,,
,,guise,shapiro,bush,prepare,,,conducted,,,,,,,,,
,,distinguishing,goldman,12th,wanderers,,,defeated,,,,,,,,,
,,accidental,2001,mechanical,equilibrium,,,monument,,,,,,,,,
,,betrayal,participants,dropped,calculating,,,certified,,,,,,,,,
,,fragile,illuminated,japan,295,,,send,,,,,,,,,
,,veil,franklin,artwork,1958,,,environmental,,,,,,,,,
,,virtue,carl,resolution,turf,,,topics,,,,,,,,,
,,progression,relic,aids,fingered,,,mine,,,,,,,,,
,,veins,turks,attack,races,,,gathering,,,,,,,,,
,,lan,sap,collective,loving,,,squeezed,,,,,,,,,
,,landscapes,jon,reached,amassed,,,parallel,,,,,,,,,
,,battlefield,dad,contributed,curiously,,,alfred,,,,,,,,,
,,courtroom,cal,1986,luther,,,youth,,,,,,,,,
,,inherently,vain,anywhere,byron,,,companion,,,,,,,,,
,,profoundly,zhang,pitched,characterization,,,sing,,,,,,,,,
,,characteristic,knockout,born,frequent,,,lucas,,,,,,,,,
,,gliding,wryly,firmly,confidently,,,beach,,,,,,,,,
,,insignificant,ed,gifts,doctorate,,,6,,,,,,,,,
,,possess,outline,hug,telescope,,,schedule,,,,,,,,,
,,stirring,fable,opinion,mid,,,fighters,,,,,,,,,
,,backlash,undertaken,knowledge,analytical,,,functions,,,,,,,,,
,,inactive,determination,singles,transforms,,,engine,,,,,,,,,
,,agile,scientists,league,undertaking,,,internal,,,,,,,,,
,,garcia,marilyn,victim,insane,,,join,,,,,,,,,
,,resistance,craftsmen,symbols,aggressive,,,produces,,,,,,,,,
,,myrtle,1952,factors,prison,,,buried,,,,,,,,,
,,stanley,acclaimed,awards,25,,,residents,,,,,,,,,
,,molina,icon,resistance,iq,,,neighborhood,,,,,,,,,
,,fundamentally,unaffected,artistic,effectively,,,apple,,,,,,,,,
,,khan,minded,pleased,proof,,,lit,,,,,,,,,
,,palma,unified,armed,concentration,,,woods,,,,,,,,,
,,evaluate,ladder,championship,mistaken,,,ball,,,,,,,,,
,,1984,libretto,employment,lawyers,,,masters,,,,,,,,,
,,puzzle,educational,cricket,prank,,,charles,,,,,,,,,
,,invincible,satisfactory,batting,pot,,,iii,,,,,,,,,
,,ragged,monument,explain,stakes,,,proposal,,,,,,,,,
,,hal,minority,athletes,ran,,,associated,,,,,,,,,
,,warfare,shivers,roots,answer,,,peace,,,,,,,,,
,,nash,spine,investment,er,,,climb,,,,,,,,,
,,depiction,environmental,joined,mud,,,influenced,,,,,,,,,
,,fatal,fleeing,labor,guiding,,,east,,,,,,,,,
,,shivers,lynne,published,chases,,,anyway,,,,,,,,,
,,definitions,ramsay,le,tucker,,,initial,,,,,,,,,
,,transparency,restraint,escort,94,,,unable,,,,,,,,,
,,harrison,converts,canon,attempted,,,passed,,,,,,,,,
,,catholic,mine,grown,italics,,,behalf,,,,,,,,,
,,abandon,pedestrian,flesh,consuming,,,burns,,,,,,,,,
,,formidable,encompassing,dozens,c,,,suspended,,,,,,,,,
,,vicious,socially,illness,sleek,,,globe,,,,,,,,,
,,unpredictable,spawned,reviews,attach,,,swung,,,,,,,,,
,,accuracy,favorably,jordan,wilde,,,treated,,,,,,,,,
,,succeeds,hurts,controversy,empowerment,,,exception,,,,,,,,,
,,descends,clare,intervention,established,,,foot,,,,,,,,,
,,discipline,misunderstanding,winds,murderer,,,assault,,,,,,,,,
,,maiden,146,europe,powers,,,catholic,,,,,,,,,
,,sap,densely,monsters,passions,,,region,,,,,,,,,
,,capturing,orlando,landing,assassin,,,inhabitants,,,,,,,,,
,,zhao,muse,rally,seduce,,,interview,,,,,,,,,
,,explicit,weighs,pissed,stealing,,,ties,,,,,,,,,
,,cinderella,alfred,suffer,tidal,,,holy,,,,,,,,,
,,hilary,hitchcock,academic,segment,,,controlled,,,,,,,,,
,,traced,drinking,dimensions,sticky,,,distinct,,,,,,,,,
,,partnership,inexperienced,silver,vittorio,,,robinson,,,,,,,,,
,,iran,fontaine,93,microscope,,,smoke,,,,,,,,,
,,afterlife,probing,eleven,purity,,,walker,,,,,,,,,
,,explores,telenovela,disease,puzzled,,,sat,,,,,,,,,
,,paints,shakespeare,classification,fictional,,,120,,,,,,,,,
,,preliminary,weakly,closer,roster,,,horses,,,,,,,,,
,,graffiti,companion,revenge,kathryn,,,partnership,,,,,,,,,
,,morally,clyde,cheek,kindness,,,glass,,,,,,,,,
,,birmingham,titans,specifically,gregory,,,participate,,,,,,,,,
,,kramer,curves,returning,velocity,,,bet,,,,,,,,,
,,singular,fashioned,rob,stroke,,,practices,,,,,,,,,
,,invasion,strains,references,sucker,,,recently,,,,,,,,,
,,compatible,lucas,succeeded,ryder,,,recommended,,,,,,,,,
,,pitted,jolt,jersey,bias,,,playoff,,,,,,,,,
,,demi,packages,guess,nominated,,,arrest,,,,,,,,,
,,exhaustion,juliet,clouds,conrad,,,tested,,,,,,,,,
,,exposition,fighters,namely,chen,,,latter,,,,,,,,,
,,frankie,exchanges,promised,ardent,,,sean,,,,,,,,,
,,copenhagen,staggered,opened,economics,,,decide,,,,,,,,,
,,thud,suspects,record,backstage,,,duty,,,,,,,,,
,,stimulating,invincible,rolling,pivotal,,,remembered,,,,,,,,,
,,damon,forcefully,princess,comparisons,,,barry,,,,,,,,,
,,fantasies,combustion,composed,followers,,,January,,,,,,,,,
,,rapids,forgiven,rejected,stark,,,scotland,,,,,,,,,
,,technological,barlow,settled,coupling,,,18,,,,,,,,,
,,twinkle,buried,suggests,bodily,,,worried,,,,,,,,,
,,cylinders,coping,neck,proving,,,limited,,,,,,,,,
,,flashes,copenhagen,perform,insurance,,,clients,,,,,,,,,
,,crashing,winger,foreign,outward,,,support,,,,,,,,,
,,lin,addresses,principles,baked,,,colin,,,,,,,,,
,,revision,cloak,fifth,cardboard,,,emphasis,,,,,,,,,
,,haute,eccentric,therefore,chick,,,fault,,,,,,,,,
,,juvenile,reagan,gross,del,,,mode,,,,,,,,,
,,digest,geared,appeared,dust,,,2000,,,,,,,,,
,,undo,damon,1938,library,,,mixing,,,,,,,,,
,,provoked,163,lying,fling,,,demonstrated,,,,,,,,,
,,sci,associated,lily,fleeting,,,fruit,,,,,,,,,
,,embraced,peace,cage,regard,,,metropolitan,,,,,,,,,
,,poet,hailed,nicolas,dared,,,opens,,,,,,,,,
,,liu,eventual,luis,damaged,,,law,,,,,,,,,
,,allegiance,initial,phenomenon,explicit,,,enforcement,,,,,,,,,
,,asphalt,commands,eventually,thrust,,,recorded,,,,,,,,,
,,revolutionary,grit,content,substantive,,,medical,,,,,,,,,
,,,endangered,pool,teeth,,,equipment,,,,,,,,,
,,,heavyweight,streets,binary,,,threw,,,,,,,,,
,,,unpaid,diary,angel,,,massive,,,,,,,,,
,,,burns,kingdom,pains,,,goods,,,,,,,,,
,,,scandals,fist,crossed,,,June,,,,,,,,,
,,,globe,six,shapiro,,,jane,,,,,,,,,
,,,rash,key,goldman,,,plant,,,,,,,,,
,,,bray,sessions,participants,,,tour,,,,,,,,,
,,,ruse,serial,partly,,,journalist,,,,,,,,,
,,,chaplin,murders,illuminated,,,venice,,,,,,,,,
,,,fiercely,broadcast,franklin,,,anna,,,,,,,,,
,,,deserved,breathing,carl,,,available,,,,,,,,,
,,,assault,embrace,relic,,,principal,,,,,,,,,
,,,catholic,station,turks,,,1960,,,,,,,,,
,,,exhaustion,hearing,sap,,,thomas,,,,,,,,,
,,,tenth,media,jon,,,walls,,,,,,,,,
,,,installment,forum,miller,,,welsh,,,,,,,,,
,,,grenade,producers,dad,,,stuart,,,,,,,,,
,,,discoveries,basis,vain,,,philip,,,,,,,,,
,,,inhabitants,household,zhang,,,ensure,,,,,,,,,
,,,franco,evidence,knockout,,,windows,,,,,,,,,
,,,christianity,discussed,wryly,,,cars,,,,,,,,,
,,,seas,glasses,ed,,,snake,,,,,,,,,
,,,activism,sun,observed,,,carefully,,,,,,,,,
,,,eternal,forms,outline,,,bars,,,,,,,,,
,,,reigns,cure,fable,,,meet,,,,,,,,,
,,,fuss,breaking,undertaken,,,aid,,,,,,,,,
,,,salvage,tenor,lies,,,orders,,,,,,,,,
,,,walsh,explosion,determination,,,earlier,,,,,,,,,
,,,eileen,south,became,,,referred,,,,,,,,,
,,,taut,jr,surrounding,,,removed,,,,,,,,,
,,,robinson,debate,scientists,,,1957,,,,,,,,,
,,,discreet,queens,craftsmen,,,occupied,,,,,,,,,
,,,stripped,wind,acclaimed,,,72,,,,,,,,,
,,,sat,majority,1952,,,meant,,,,,,,,,
,,,horses,molly,icon,,,h,,,,,,,,,
,,,partnership,folk,killing,,,tall,,,,,,,,,
,,,mined,successor,unified,,,writers,,,,,,,,,
,,,glass,successfully,denying,,,tie,,,,,,,,,
,,,rewarded,60,ladder,,,draw,,,,,,,,,
,,,amazement,chest,libretto,,,guitar,,,,,,,,,
,,,bet,extension,satisfactory,,,page,,,,,,,,,
,,,tabloid,ritual,defeated,,,improve,,,,,,,,,
