Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
loosely,diplomacy,hundred,eyes,seem,recording,,metaphor,touch,role,,,"loosely,","diplomacy,","hundred,","eyes,","seem,","recording,"
honesty,generosity,ice,images,fresh,current,,resonance,bringing,jason,,,"honesty,","generosity,","ice,","images,","fresh,","current,"
dreadful,impressions,4,read,history,climate,,viewers,us,generosity,,,"dreadful,","impressions,","4,","read,","history,","climate,"
elephant,artist,lights,tear,weak,industry,,format,any,share,,,"elephant,","artist,","lights,","tear,","weak,","industry,"
approaches,engaging,got,hate,people,storylines,,drama,ever,loss,,,"approaches,","engaging,","got,","hate,","people,","storylines,"
straining,similar,:,cinematic,power,woven,,debut,given,effort,,,"straining,","similar,",":,","cinematic,","power,","woven,"
translate,collapse,milk,recent,help,experience,,haunting,beauty,artist,,,"translate,","collapse,","milk,","recent,","help,","experience,"
lowered,flaws,street,addition,almost,magnificent,,observation,bloody,lively,,,"lowered,","flaws,","street,","addition,","almost,","magnificent,"
disgust,poses,ahead,generally,horror,shots,,swim,many,engaging,,,"disgust,","poses,","ahead,","generally,","horror,","shots,"
slip,tool,corners,mystery,absolute,cruel,,beings,him,examination,,,"slip,","tool,","corners,","mystery,","absolute,","cruel,"
stylized,excuse,somewhat,put,life,deception,,becomes,poor,forgive,,,"stylized,","excuse,","somewhat,","put,","life,","deception,"
fires,effective,flavor,3000,much,carried,,merely,ben,flaws,,,"fires,","effective,","flavor,","3000,","much,","carried,"
utilizing,community,cutting,em,without,empathy,,scenes,driving,scene,,,"utilizing,","community,","cutting,","em,","without,","empathy,"
pollution,tradition,lower,late,fun,men,,affecting,directions,effective,,,"pollution,","tradition,","lower,","late,","fun,","men,"
achieving,conquer,already,go,based,women,,successful,be,community,,,"achieving,","conquer,","already,","go,","based,","women,"
profile,set,buy,work,TRUE,total,,levels,room,tradition,,,"profile,","set,","buy,","work,","TRUE,","total,"
intensely,phones,need,fluid,significant,marginal,,intelligent,touching,delivers,,,"intensely,","phones,","need,","fluid,","significant,","marginal,"
loser,delivers,help,direction,historically,fresh,,moving,starts,promises,,,"loser,","delivers,","help,","direction,","historically,","fresh,"
gently,roll,seen,deal,tribute,history,,sequels,legend,roll,,,"gently,","roll,","seen,","deal,","tribute,","history,"
stretched,suspense,thing,ron,first,earnest,,detailing,less,suspense,,,"stretched,","suspense,","thing,","ron,","first,","earnest,"
honorable,consistent,say,storytelling,two,pays,,m,rich,lacking,,,"honorable,","consistent,","say,","storytelling,","two,","pays,"
symbolic,lacking,probably,piece,enough,homage,,grade,stuff,realistic,,,"symbolic,","lacking,","probably,","piece,","enough,","homage,"
freedom,portrayal,card,casts,heat,weak,,trash,joy,portrayal,,,"freedom,","portrayal,","card,","casts,","heat,","weak,"
weary,realistic,competition,landscape,appear,skip,,sustain,apparent,tries,,,"weary,","realistic,","competition,","landscape,","appear,","skip,"
whale,trying,gift,attractive,comedy,few,,end,video,trying,,,"whale,","trying,","gift,","attractive,","comedy,","few,"
prejudice,tries,light,takes,reaction,surprises,,ambitious,shot,reveals,,,"prejudice,","tries,","light,","takes,","reaction,","surprises,"
lifeless,stunts,bright,pleasures,throw,people,,filmmaker,digital,talents,,,"lifeless,","stunts,","bright,","pleasures,","throw,","people,"
compatible,reveals,head,masterpiece,actors,endure,,weaknesses,;,important,,,"compatible,","reveals,","head,","masterpiece,","actors,","endure,"
embraced,talents,early,time,ca,generates,,carmen,at,relief,,,"embraced,","talents,","early,","time,","ca,","generates,"
denial,important,cut,lot,generate,life,,ode,core,filmmaking,,,"denial,","important,","cut,","lot,","generate,","life,"
banged,service,college,hopeless,robert,fun,,luminous,ending,promise,,,"banged,","service,","college,","hopeless,","robert,","fun,"
capturing,da,part,charming,family,historically,,failing,not,view,,,"capturing,","da,","part,","charming,","family,","historically,"
collectively,relief,day,college,keep,TRUE,,opera,just,easily,,,"collectively,","relief,","day,","college,","keep,","TRUE,"
